ResponseId,Non-Physicalist Beliefs
R_2XhSm3rVuTDh2XT,5.777777777777778
R_82J66rTAKMAkEMO,5.555555555555555
R_80OjC1M5y1RxlPM,6.666666666666667
R_8rdBxiZHeShoPvf,4.666666666666667
R_2rH7YSrGIo4VOqn,6.222222222222222
R_21XjwbyGzuOyHgI,3.3333333333333335
R_8wRkx3xsKEWvkx4,4.888888888888889
R_2z7lDjn9lsFW9le,6.333333333333333
R_2QZ0mVOXJ7bErCC,2.888888888888889
R_2By8fQWBDdVOmvN,2.888888888888889
R_7W7t8gWXV5YT89r,3.3333333333333335
R_2oHhbfWNL2kkcVd,3.4444444444444446
R_773U7ZqYsjUkFKp,2.7777777777777777
R_7s5KA1fQw1up3RI,6.111111111111111
R_4GDEWIUC4ym26CC,5.111111111111111
R_43mdeeA3lr99XfP,4.888888888888889
R_2pXXnHm4NyMkzzI,5.666666666666667
R_7QF7WxFwsbDGmNo,6.111111111111111
R_5daHaWG1jP1noqh,5.0
R_1j7CZRMDdlYZsRa,5.555555555555555
R_9ewzLHjgKMw7aAo,2.6666666666666665
R_6eJKKdxcAEn8sLc,5.222222222222222
R_7jeylS2IMX0LQHL,4.888888888888889
R_93ORM1AwErq8M3n,2.7777777777777777
R_5QAF6WKKRnrvhgR,3.6666666666666665
R_9I5dYnTeMGdPyAF,5.222222222222222
R_57qyyHfdXuoAZuM,7.0
R_8GwVWwztV7oDxie,2.6666666666666665
R_4ffBkooFqHzbTXu,3.6666666666666665
R_2xFuqG16chSKLcD,5.222222222222222
R_8dgzwbDadiIpEzC,5.333333333333333
R_36ao9YGhC5GcZrq,4.666666666666667
R_8c5yw36Pz3kZ3Cp,5.333333333333333
R_2U4mfZSqUjhgxov,5.555555555555555
R_21nfNz8AxMsB3vb,2.888888888888889
R_21hgqYz8t5glRvQ,5.666666666666667
R_2jJ9Enb3PhGhhr0,3.0
R_2GBvrInZcbMS2Sn,4.0
R_80UPG53TvLSipp9,4.555555555555555
R_8GoYPzVdsrKHvoX,5.0
R_2j9CQBXGXNNuzPK,5.0
